age,businesstravel,department,distancefromhome,education,educationfield,employeeid,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,trainingtimeslastyear,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement
51,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Healthcare Representative,Married,131160,1.0,11,0,6,0,0,3.0,4.0,2.0,3
31,Travel_Frequently,Research & Development,10,1,Life Sciences,2,1,Research Scientist,Single,41890,0.0,23,1,3,1,4,3.0,2.0,4.0,2
32,Travel_Frequently,Research & Development,17,4,Other,3,4,Sales Executive,Married,193280,1.0,15,3,2,0,3,2.0,2.0,1.0,3
38,Non-Travel,Research & Development,2,5,Life Sciences,4,3,Human Resources,Married,83210,3.0,11,3,5,7,5,4.0,4.0,3.0,2
32,Travel_Rarely,Research & Development,10,1,Medical,5,1,Sales Executive,Single,23420,4.0,12,2,2,0,4,4.0,1.0,3.0,3
46,Travel_Rarely,Research & Development,8,3,Life Sciences,6,4,Research Director,Married,40710,3.0,13,0,5,7,7,3.0,2.0,2.0,3
28,Travel_Rarely,Research & Development,11,2,Medical,7,2,Sales Executive,Single,58130,2.0,20,1,2,0,0,1.0,3.0,1.0,3
29,Travel_Rarely,Research & Development,18,3,Life Sciences,8,2,Sales Executive,Married,31430,2.0,22,3,2,0,0,1.0,2.0,3.0,3
31,Travel_Rarely,Research & Development,1,3,Life Sciences,9,3,Laboratory Technician,Married,20440,0.0,21,0,2,7,8,2.0,4.0,3.0,3
25,Non-Travel,Research & Development,7,4,Medical,10,4,Laboratory Technician,Divorced,134640,1.0,13,1,2,1,5,2.0,1.0,3.0,3
45,Travel_Rarely,Research & Development,17,2,Medical,11,2,Laboratory Technician,Married,79910,0.0,13,2,2,4,10,3.0,4.0,3.0,2
36,Travel_Rarely,Research & Development,28,1,Life Sciences,12,1,Laboratory Technician,Married,33770,0.0,12,2,2,10,11,3.0,4.0,3.0,3
55,Travel_Rarely,Research & Development,14,4,Life Sciences,13,1,Sales Executive,Single,55380,0.0,17,0,2,4,13,4.0,1.0,3.0,3
47,Non-Travel,Research & Development,1,1,Medical,14,1,Research Scientist,Married,57620,1.0,11,2,4,9,9,1.0,2.0,2.0,2
28,Travel_Rarely,Research & Development,1,3,Life Sciences,15,1,Manufacturing Director,Married,25920,1.0,14,0,2,0,4,4.0,4.0,2.0,3
37,Travel_Rarely,Research & Development,1,3,Life Sciences,16,2,Healthcare Representative,Married,53460,4.0,11,0,2,0,1,3.0,4.0,4.0,3
21,Travel_Rarely,Research & Development,3,2,Life Sciences,17,1,Laboratory Technician,Single,42130,1.0,12,3,3,1,0,4.0,3.0,4.0,2
37,Non-Travel,Research & Development,1,3,Medical,18,2,Sales Executive,Divorced,41270,2.0,13,1,2,0,2,1.0,4.0,3.0,3
35,Travel_Rarely,Sales,7,4,Life Sciences,19,1,Sales Representative,Divorced,24380,7.0,16,0,5,6,2,2.0,2.0,2.0,2
38,Travel_Rarely,Research & Development,8,3,Life Sciences,20,1,Manager,Divorced,68700,1.0,11,1,5,7,7,1.0,1.0,3.0,3
26,Travel_Frequently,Research & Development,1,4,Other,21,2,Laboratory Technician,Divorced,104470,1.0,18,0,3,1,4,3.0,2.0,1.0,3
50,Travel_Rarely,Sales,8,4,Life Sciences,22,1,Research Scientist,Divorced,96670,3.0,23,0,2,1,6,1.0,2.0,2.0,2
53,Travel_Rarely,Research & Development,11,4,Life Sciences,23,2,Research Scientist,Married,21480,3.0,11,0,2,1,3,3.0,3.0,2.0,3
42,Travel_Rarely,Research & Development,4,4,Life Sciences,24,1,Manufacturing Director,Married,89260,1.0,14,0,4,11,6,2.0,3.0,3.0,1
29,Travel_Frequently,Research & Development,16,4,Medical,25,1,Laboratory Technician,Single,65130,1.0,11,1,2,0,9,2.0,4.0,2.0,3
55,Travel_Rarely,Research & Development,1,4,Other,26,1,Research Scientist,Married,67990,3.0,11,0,2,0,8,2.0,4.0,3.0,3
26,Travel_Frequently,Research & Development,9,3,Life Sciences,27,1,Manager,Married,162910,1.0,22,0,3,3,3,1.0,1.0,3.0,3
37,Travel_Rarely,Sales,5,1,Marketing,28,1,Research Scientist,Single,27050,1.0,11,0,2,5,7,4.0,4.0,3.0,3
44,Travel_Frequently,Research & Development,1,2,Medical,29,2,Research Scientist,Divorced,103330,3.0,14,1,2,0,0,4.0,3.0,1.0,2
38,Travel_Rarely,Sales,2,3,Marketing,30,1,Manager,Divorced,44480,9.0,12,0,3,1,2,4.0,4.0,3.0,2
26,Travel_Rarely,Research & Development,4,3,Medical,31,3,Research Scientist,Divorced,68540,2.0,11,0,5,0,2,1.0,2.0,3.0,2
28,Travel_Rarely,Research & Development,7,3,Other,32,1,Human Resources,Single,96370,1.0,13,0,6,0,2,4.0,4.0,3.0,2
49,Travel_Frequently,Research & Development,1,1,Medical,33,2,Research Scientist,Single,35910,9.0,13,0,2,1,2,3.0,1.0,3.0,3
36,Travel_Rarely,Sales,5,3,Technical Degree,34,3,Sales Executive,Single,54050,4.0,14,0,2,7,7,3.0,2.0,3.0,3
31,Travel_Frequently,Research & Development,9,4,Medical,35,1,Sales Executive,Divorced,46840,1.0,16,1,4,2,2,4.0,2.0,2.0,3
26,Travel_Rarely,Research & Development,8,3,Medical,36,2,Manager,Single,157870,1.0,12,2,5,7,4,4.0,4.0,3.0,3
37,Travel_Frequently,Sales,9,1,Marketing,37,1,Laboratory Technician,Married,15140,1.0,14,0,3,1,2,2.0,4.0,2.0,3
42,Travel_Frequently,Sales,2,2,Marketing,38,3,Research Director,Married,29560,5.0,13,0,2,4,8,3.0,2.0,4.0,3
18,Travel_Rarely,Research & Development,1,4,Life Sciences,39,1,Sales Executive,Single,23350,1.0,14,2,3,0,0,3.0,3.0,3.0,2
35,Travel_Rarely,Sales,20,2,Life Sciences,40,1,Laboratory Technician,Married,51540,0.0,19,0,2,6,9,3.0,2.0,2.0,2
36,Travel_Frequently,Research & Development,8,3,Other,41,3,Sales Executive,Married,69620,4.0,12,2,2,0,0,3.0,3.0,3.0,2
51,Travel_Rarely,Research & Development,2,3,Life Sciences,42,2,Laboratory Technician,Divorced,56750,5.0,13,0,2,1,2,4.0,2.0,3.0,2
41,Travel_Rarely,Research & Development,29,1,Life Sciences,43,1,Laboratory Technician,Single,23790,1.0,12,0,6,0,4,4.0,2.0,3.0,3
18,Travel_Rarely,Sales,7,3,Life Sciences,44,1,Research Scientist,Single,38120,1.0,15,0,3,0,0,4.0,3.0,3.0,3
28,Travel_Rarely,Research & Development,9,3,Medical,45,1,Sales Representative,Single,46480,0.0,23,2,2,0,7,2.0,1.0,3.0,2
31,Travel_Rarely,Research & Development,8,1,Technical Degree,46,1,Manufacturing Director,Married,29360,4.0,12,1,2,7,7,2.0,4.0,2.0,3
39,Travel_Rarely,Sales,5,4,Marketing,47,2,Human Resources,Divorced,21050,0.0,20,0,3,3,7,3.0,4.0,2.0,3
36,Non-Travel,Research & Development,5,4,Life Sciences,48,1,Sales Executive,Married,85780,7.0,21,0,4,0,8,2.0,2.0,3.0,3
32,Travel_Rarely,Sales,2,3,Marketing,49,2,Laboratory Technician,Married,27060,1.0,21,1,4,4,8,4.0,3.0,2.0,3
38,Travel_Rarely,Research & Development,5,2,Life Sciences,50,3,Research Scientist,Married,63840,3.0,19,2,4,0,1,1.0,2.0,3.0,2
58,Non-Travel,Research & Development,2,3,Life Sciences,51,2,Manufacturing Director,Divorced,39680,2.0,13,2,3,1,2,4.0,3.0,3.0,2
31,Travel_Rarely,Research & Development,20,1,Technical Degree,52,3,Research Scientist,Married,99070,0.0,13,1,3,0,3,3.0,4.0,3.0,2
31,Travel_Rarely,Sales,7,4,Marketing,53,2,Sales Executive,Married,132250,3.0,21,1,2,1,0,1.0,1.0,3.0,3
45,Travel_Frequently,Research & Development,3,1,Medical,54,1,Sales Executive,Divorced,35400,1.0,13,0,6,9,11,1.0,1.0,3.0,3
31,Travel_Rarely,Sales,16,4,Marketing,55,2,Research Scientist,Divorced,28040,0.0,19,2,0,2,2,3.0,4.0,1.0,3
33,Travel_Frequently,Research & Development,9,3,Life Sciences,56,4,Research Director,Married,193920,6.0,12,1,3,8,8,4.0,2.0,3.0,3
39,Travel_Rarely,Sales,1,4,Life Sciences,57,1,Sales Executive,Married,196650,1.0,22,1,6,11,10,3.0,1.0,3.0,3
43,Travel_Frequently,Research & Development,7,4,Medical,58,4,Research Scientist,Single,24390,0.0,15,0,2,1,7,3.0,4.0,3.0,3
49,Travel_Rarely,Research & Development,1,3,Life Sciences,59,3,Manufacturing Director,Single,73140,7.0,22,0,2,0,7,3.0,3.0,3.0,3
52,Travel_Rarely,Research & Development,7,1,Life Sciences,60,2,Research Scientist,Married,47740,2.0,18,1,2,7,7,3.0,2.0,2.0,3
27,Travel_Rarely,Research & Development,15,4,Medical,61,3,Research Scientist,Single,39020,1.0,22,0,2,1,2,3.0,2.0,2.0,3
32,Travel_Rarely,Research & Development,1,3,Life Sciences,62,3,Research Scientist,Married,26620,1.0,11,1,6,11,9,3.0,2.0,3.0,4
27,Travel_Rarely,Research & Development,13,2,Medical,63,4,Research Director,Single,28560,1.0,12,2,5,0,4,4.0,3.0,3.0,4
31,Travel_Rarely,Sales,24,3,Life Sciences,64,2,Healthcare Representative,Divorced,10810,4.0,11,3,4,1,7,4.0,4.0,3.0,4
32,Travel_Rarely,Research & Development,7,3,Technical Degree,65,2,Healthcare Representative,Single,24720,7.0,13,0,2,0,7,1.0,4.0,2.0,3
28,Travel_Rarely,Research & Development,9,4,Medical,66,1,Sales Executive,Married,56730,5.0,14,1,4,2,2,1.0,4.0,2.0,2
30,Travel_Rarely,Research & Development,13,3,Life Sciences,67,4,Research Director,Married,41970,1.0,13,0,3,1,9,4.0,4.0,3.0,3
31,Travel_Frequently,Research & Development,2,1,Life Sciences,68,1,Manager,Married,97130,1.0,17,0,5,8,9,3.0,3.0,3.0,2
39,Travel_Frequently,Research & Development,19,4,Medical,69,1,Research Scientist,Married,20620,1.0,13,0,4,13,3,3.0,4.0,3.0,3
39,Travel_Rarely,Research & Development,1,1,Medical,70,1,Laboratory Technician,Married,42840,4.0,17,1,0,0,0,4.0,3.0,2.0,3
33,Travel_Frequently,Sales,4,2,Life Sciences,71,4,Research Scientist,Single,47880,3.0,11,1,0,0,1,2.0,4.0,2.0,3
47,Travel_Rarely,Research & Development,4,3,Life Sciences,72,2,Healthcare Representative,Married,59060,4.0,23,0,4,1,1,4.0,3.0,3.0,4
43,Travel_Frequently,Research & Development,14,3,Medical,73,5,Research Director,Divorced,38860,1.0,17,2,2,0,0,3.0,3.0,4.0,3
27,Non-Travel,Research & Development,2,3,Life Sciences,74,1,Research Director,Married,168230,0.0,17,0,3,1,4,3.0,2.0,3.0,3
54,Travel_Frequently,Research & Development,1,4,Life Sciences,75,2,Research Scientist,Single,29330,3.0,12,2,2,0,3,4.0,3.0,2.0,3
43,Travel_Rarely,Research & Development,7,2,Life Sciences,76,2,Manager,Married,65000,8.0,23,0,3,0,0,3.0,1.0,2.0,3
45,Travel_Rarely,Sales,3,1,Marketing,77,1,Sales Executive,Married,171740,9.0,14,1,6,9,8,4.0,4.0,3.0,3
40,Travel_Rarely,Research & Development,2,4,Other,78,4,Research Scientist,Married,50330,2.0,14,2,6,0,2,2.0,4.0,2.0,3
29,Travel_Rarely,Research & Development,29,3,Medical,79,1,Research Scientist,Married,23070,1.0,13,1,0,0,7,2.0,1.0,2.0,3
29,Travel_Rarely,Human Resources,8,3,Medical,80,3,Sales Representative,Single,25870,0.0,22,2,3,2,2,2.0,4.0,3.0,3
