index,age,businesstravel,department,distancefromhome,education,educationfield,employeeid,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,trainingtimeslastyear,yearssincelastpromotion,yearswithcurrmanager,infodate,index:1,employeeid:1,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,index:2,employeeid:2,jobinvolvement,surveydate,employeeid:3,v_objetivo
0,51,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Healthcare Representative,Married,131160,1.0,11,0,6,0,0,2015-12-31 00:00:00,0,1,3.0,4.0,2.0,2015-12-31 00:00:00,0,1,3,2015-12-31 00:00:00,,0
1,31,Travel_Frequently,Research & Development,10,1,Life Sciences,2,1,Research Scientist,Single,41890,0.0,23,1,3,1,4,2015-12-31 00:00:00,1,2,3.0,2.0,4.0,2015-12-31 00:00:00,1,2,2,2015-12-31 00:00:00,2.0,1
2,32,Travel_Frequently,Research & Development,17,4,Other,3,4,Sales Executive,Married,193280,1.0,15,3,2,0,3,2015-12-31 00:00:00,2,3,2.0,2.0,1.0,2015-12-31 00:00:00,2,3,3,2015-12-31 00:00:00,,0
3,38,Non-Travel,Research & Development,2,5,Life Sciences,4,3,Human Resources,Married,83210,3.0,11,3,5,7,5,2015-12-31 00:00:00,3,4,4.0,4.0,3.0,2015-12-31 00:00:00,3,4,2,2015-12-31 00:00:00,,0
4,32,Travel_Rarely,Research & Development,10,1,Medical,5,1,Sales Executive,Single,23420,4.0,12,2,2,0,4,2015-12-31 00:00:00,4,5,4.0,1.0,3.0,2015-12-31 00:00:00,4,5,3,2015-12-31 00:00:00,,0
5,46,Travel_Rarely,Research & Development,8,3,Life Sciences,6,4,Research Director,Married,40710,3.0,13,0,5,7,7,2015-12-31 00:00:00,5,6,3.0,2.0,2.0,2015-12-31 00:00:00,5,6,3,2015-12-31 00:00:00,,0
6,28,Travel_Rarely,Research & Development,11,2,Medical,7,2,Sales Executive,Single,58130,2.0,20,1,2,0,0,2015-12-31 00:00:00,6,7,1.0,3.0,1.0,2015-12-31 00:00:00,6,7,3,2015-12-31 00:00:00,7.0,1
7,29,Travel_Rarely,Research & Development,18,3,Life Sciences,8,2,Sales Executive,Married,31430,2.0,22,3,2,0,0,2015-12-31 00:00:00,7,8,1.0,2.0,3.0,2015-12-31 00:00:00,7,8,3,2015-12-31 00:00:00,,0
8,31,Travel_Rarely,Research & Development,1,3,Life Sciences,9,3,Laboratory Technician,Married,20440,0.0,21,0,2,7,8,2015-12-31 00:00:00,8,9,2.0,4.0,3.0,2015-12-31 00:00:00,8,9,3,2015-12-31 00:00:00,,0
9,25,Non-Travel,Research & Development,7,4,Medical,10,4,Laboratory Technician,Divorced,134640,1.0,13,1,2,1,5,2015-12-31 00:00:00,9,10,2.0,1.0,3.0,2015-12-31 00:00:00,9,10,3,2015-12-31 00:00:00,,0
